Match No,Date,Ground Name,Team1,Team2,Winning Team,Margin
63,"May 16, 2023",Lucknow,Rajasthan Royals,Gujarat Titans,Super Giants,5 runs
64,"May 17, 2023",Dharamsala,Mumbai Indians,Chennai Super Kings,Capitals,15 runs
65,"May 18, 2023",Hyderabad,Royal Challengers Bangalore,Delhi Capitals,RCB,8 wickets (with 4 balls remaining)
66,"May 19, 2023",Dharamsala,Gujarat Titans,Lucknow Super Giants,Royals,4 wickets (with 2 balls remaining)
67,"May 20, 2023",Delhi,Rajasthan Royals,Sunrisers Hyderabad,Super Kings,77 runs
68,"May 20, 2023",Eden Gardens,Punjab Kings,Kolkata Knight Riders,Super Giants,1 run
69,"May 21, 2023",Wankhede,Royal Challengers Bangalore,Mumbai Indians,Mumbai,8 wickets (with 12 balls remaining)
70,"May 21, 2023",Bengaluru,Chennai Super Kings,Delhi Capitals,Titans,6 wickets (with 5 balls remaining)
1,"May 23, 2023",Chennai,Kolkata Knight Riders,Rajasthan Royals,Super Kings,15 runs
2023,"May 24, 2023",Chennai,Mumbai Indians,Gujarat Titans,Mumbai,81 runs
2,"May 26, 2023",Ahmedabad,Sunrisers Hyderabad,Lucknow Super Giants,Titans,62 runs
28,"May 28 - 29, 2023",Ahmedabad,Punjab Kings,Delhi Capitals,Reserve day available -Super Kings,5 wickets (with 0 balls remaining) (DLS method)
