Job Name,Company Name,Job Location,Time Posted,Links
Sales Manager,Procter & Gamble,"Karāchi, Sindh, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/sales-manager-at-procter-gamble-3619165942?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=X%2FlbvMJ6HT%2Fb%2FEp9fcfoQQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Corporate Sales Manager,Byte (YC S20),"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/corporate-sales-manager-at-byte-yc-s20-3625989488?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=YSKJiSJd9petFWV8%2BeoYbg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Development Representative (Pakistan),Podium,"Lahore, Punjab, Pakistan",3 days ago,https://pk.linkedin.com/jobs/view/sales-development-representative-pakistan-at-podium-3640046247?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=ynilNcqY8Tq%2BjEOXIdS11w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Corporate Sales Executive,marcus evans Group,"Karāchi, Sindh, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/corporate-sales-executive-at-marcus-evans-group-3638464578?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=VczF0U9Yski9u4AaIn6yGA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Executive- Pakistan (various cities),Rentokil Initial,"Lahore, Punjab, Pakistan",3 months ago,https://pk.linkedin.com/jobs/view/sales-executive-pakistan-various-cities-at-rentokil-initial-3513772493?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=4fPXYeODa7Gz9DxUR5rEZQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Global Sales & Marketing Manager,ibex,"Karachi Division, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/global-sales-marketing-manager-at-ibex-3624473409?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=s1qh%2FO8oZgZJ5WzgudrNeA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Executive,Baya Group (Pvt),"Islamabad, Islāmābād, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/sales-executive-at-baya-group-pvt-3597011292?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=otqom5vSZsY4TvJCvOQ03Q%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Development Representative (Pakistan),Podium,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/sales-development-representative-pakistan-at-podium-3565582828?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=6e3vl8nzIsHZ%2BlHY4EWIEw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Executive,Teradata,"Islamabad, Islāmābād, Pakistan",3 days ago,https://pk.linkedin.com/jobs/view/sales-executive-at-teradata-3640737983?refId=gsq9uRP1JQb9aQWxvm6Cig%3D%3D&trackingId=fYqqYofyRWssNXKdtBNF7Q%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Copywriter (REMOTE Position),TOMO™ Bottle,"Islamabad, Islāmābād, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/sales-copywriter-remote-position-at-tomo%E2%84%A2-bottle-3626144218?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=Wq2mVkOk%2BnJludE8gK8UXQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Sales Consultant,Kennis Zone Pvt Ltd,"Islamabad, Islāmābād, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/sales-consultant-at-kennis-zone-pvt-ltd-3632534276?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=Q0nudVvUPv6j39p%2BjQivZQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Sales Executive,Hotel Management Services,"Islamabad, Islāmābād, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/sales-executive-at-hotel-management-services-3597006764?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=mAnpM0wEDp4Y8XvVblVXuQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
B2B Sales Executive,Nextbridge Ltd.,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/b2b-sales-executive-at-nextbridge-ltd-3596386099?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=2Ra5QpWsfbAwIIbchihBfg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Car Field Sales Executive - Peshawar,PakWheels.com,"Peshawar, Khyber Pakhtunkhwa, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/car-field-sales-executive-peshawar-at-pakwheels-com-3625993686?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=aNZYTKhyDbfsakyTfT1GmA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Account Manager (Karachi),IFF,"Karāchi, Sindh, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/account-manager-karachi-at-iff-3633472322?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=T4UTcchQzwbPeWlvY3toLA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Development Executive - App Sales,TekRevol,"Karāchi, Sindh, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/business-development-executive-app-sales-at-tekrevol-3643028255?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=Jg4M9QjveVRogasQRwm9SQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
B2B Sales Manager,VASHISHTA sYSTEMS,"Hyderabad, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/b2b-sales-manager-at-vashishta-systems-3626785175?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=TUnmuesaw%2BiEC%2Fv0w4EK%2FA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Sales Manager,Tagaddod,"Lahore, Punjab, Pakistan",2 months ago,https://pk.linkedin.com/jobs/view/sales-manager-at-tagaddod-3590311724?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=xDPyFSUGV2Gw2zqoLfKujQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Sales Associate,Beam,"Karāchi, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/sales-associate-at-beam-3631456775?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=gR%2BXSDClvCK54nK%2FYqntUQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Sales Manager,Nextbridge Ltd.,"Lahore, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/sales-manager-at-nextbridge-ltd-3624194611?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=hL6%2BIQXzrwqrKpr3ADSacg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Sales Executive,Synavos,"Lahore District, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/sales-executive-at-synavos-3632092164?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=ORrBpQmfq%2F7LBgIiuTzeKQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Telesales Executive,Kennis Zone Pvt Ltd,"Islāmābād, Pakistan",3 days ago,https://pk.linkedin.com/jobs/view/telesales-executive-at-kennis-zone-pvt-ltd-3640504580?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=BzcsdJSBItxQk93D3EGesQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Sr. Sales Executive,The Plum Tree Group,"Karāchi, Sindh, Pakistan",5 months ago,https://pk.linkedin.com/jobs/view/sr-sales-executive-at-the-plum-tree-group-3434219898?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=0NPp80AY2m%2FQvUCyGIDX1g%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Territory Sales Supervisor (Proactive Pipeline),Jazz,"Sindh, Pakistan",2 months ago,https://pk.linkedin.com/jobs/view/territory-sales-supervisor-proactive-pipeline-at-jazz-3590308905?refId=11hOpX%2FE78%2FJG7MdO0BDaw%3D%3D&trackingId=C7sazeWmS3WPJajOknvEDQ%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
